,PEOPLE_POSITIVE_CASES_COUNT,COUNTY_NAME,PROVINCE_STATE_NAME,REPORT_DATE,REPORT_DATE1,CONTINENT_NAME,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,COUNTY_FIPS_NUMBER,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,COUNTRY_ALPHA_2_CODE,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
0,823078,,,2021-09-19,2021-09-19,Europe,JHU CSSE Global Timeseries,1,,CHE,Switzerland,CH,0,11000
1,827111,,,2021-09-20,2021-09-20,Europe,JHU CSSE Global Timeseries,15,,CHE,Switzerland,CH,4033,11015
2,828347,,,2021-09-21,2021-09-21,Europe,JHU CSSE Global Timeseries,6,,CHE,Switzerland,CH,1236,11021
3,830251,,,2021-09-22,2021-09-22,Europe,JHU CSSE Global Timeseries,6,,CHE,Switzerland,CH,1904,11027
4,831881,,,2021-09-23,2021-09-23,Europe,JHU CSSE Global Timeseries,7,,CHE,Switzerland,CH,1630,11034
5,833385,,,2021-09-24,2021-09-24,Europe,JHU CSSE Global Timeseries,8,,CHE,Switzerland,CH,1504,11042
6,833385,,,2021-09-25,2021-09-25,Europe,JHU CSSE Global Timeseries,1,,CHE,Switzerland,CH,0,11043
7,833385,,,2021-09-26,2021-09-26,Europe,JHU CSSE Global Timeseries,0,,CHE,Switzerland,CH,0,11043
8,836483,,,2021-09-27,2021-09-27,Europe,JHU CSSE Global Timeseries,17,,CHE,Switzerland,CH,3098,11060
9,837769,,,2021-09-28,2021-09-28,Europe,JHU CSSE Global Timeseries,13,,CHE,Switzerland,CH,1286,11073
10,839219,,,2021-09-29,2021-09-29,Europe,JHU CSSE Global Timeseries,6,,CHE,Switzerland,CH,1450,11079
11,840363,,,2021-09-30,2021-09-30,Europe,JHU CSSE Global Timeseries,8,,CHE,Switzerland,CH,1144,11087
12,841573,,,2021-10-01,2021-10-01,Europe,JHU CSSE Global Timeseries,6,,CHE,Switzerland,CH,1210,11093
13,37208,,,2020-09-01,2020-09-01,Europe,JHU CSSE Global Timeseries,13,,MDA,Moldova,MD,288,1008
14,256870,,,2021-07-02,2021-07-02,Europe,JHU CSSE Global Timeseries,0,,MDA,Moldova,MD,54,6194
15,23521,,,2020-07-28,2020-07-28,Europe,JHU CSSE Global Timeseries,5,,MDA,Moldova,MD,367,753
16,149093,,,2021-01-09,2021-01-09,Europe,JHU CSSE Global Timeseries,8,,MDA,Moldova,MD,424,3130
17,148669,,,2021-01-08,2021-01-08,Europe,JHU CSSE Global Timeseries,16,,MDA,Moldova,MD,375,3122
18,148294,,,2021-01-07,2021-01-07,Europe,JHU CSSE Global Timeseries,18,,MDA,Moldova,MD,423,3106
19,122685,,,2020-12-10,2020-12-10,Europe,JHU CSSE Global Timeseries,19,,MDA,Moldova,MD,1715,2500
